department,number,title,term
CHE,331,Transport Phenomena I,Fall 2016
CHE,331H,Transport Phenomena I,Fall 2016
CHE,332,Transport Phenomena Ii,Winter 2016
CHE,332H,Transport Phenomena Ii,Winter 2016
CHE,333,Transport Phenomena Iii,Spring 2016
CHE,333H,Transport Phenomena Iii,Spring 2016
CHE,334,Transport Phenomena Laboratory,Spring 2016
CHE,361,Chemical Process Dynamics And Simulation,Winter 2016
CHE,399,Special Topics,Winter 2016
CHE,401,Research,Winter 2016
CHE,401,Research,Spring 2016
CHE,401,Research,Summer 2016
CHE,401,Research,Fall 2016
CHE,403,Thesis,Winter 2016
CHE,403,Thesis,Spring 2016
CHE,403,Thesis,Summer 2016
CHE,403,Thesis,Fall 2016
CHE,405,Reading And Conference,Winter 2016
CHE,405,Reading And Conference,Spring 2016
CHE,405,Reading And Conference,Summer 2016
CHE,405,Reading And Conference,Fall 2016
CHE,406,Projects,Winter 2016
CHE,406,Projects,Spring 2016
CHE,406,Projects,Summer 2016
CHE,406,Projects,Fall 2016
CHE,410,Internship,Winter 2016
CHE,410,Internship,Spring 2016
CHE,410,Internship,Summer 2016
CHE,410,Internship,Fall 2016
CHE,411,Mass Transfer Operations,Fall 2016
CHE,415,Chemical Engineering Laboratory I,Winter 2016
CHE,417,"Instrumentation In Chemical, Biological, & Environmental Eng",Spring 2016
CHE,431,Chemical Plant Design I,Winter 2016
CHE,432,Chemical Plant Design Ii,Spring 2016
CHE,443,Chemical Reaction Engineering,Fall 2016
CHE,444,Thin Film Materials Processing,Winter 2016
CHE,445,Polymer Engineering And Science,Spring 2016
CHE,445,Polymer Engineering And Science,Fall 2016
CHE,450,Conventional And Alternative Energy Systems,Winter 2016
CHE,450,Conventional And Alternative Energy Systems,Spring 2016
CHE,451,Solar Energy Technologies,Spring 2016
CHE,461,Process Control,Spring 2016
CHN,111,First-Year Chinese,Fall 2016
CHN,112,First-Year Chinese,Winter 2016
CHN,113,First-Year Chinese,Spring 2016
CHN,211,Second-Year Chinese,Fall 2016
CHN,212,Second-Year Chinese,Winter 2016
CHN,213,Second-Year Chinese,Spring 2016
CHN,331,Chinese Culture,Summer 2016
CHN,331,Chinese Culture,Fall 2016
CHN,332,Chinese Culture,Winter 2016
CHN,333,Chinese Culture,Spring 2016
CHN,379,Proctor Experience,Winter 2016
CHN,379,Proctor Experience,Spring 2016
CHN,379,Proctor Experience,Fall 2016
CHN,399,Special Topics,Summer 2016
COMM,111,Public Speaking,Winter 2016
COMM,111,Public Speaking,Spring 2016
COMM,111,Public Speaking,Summer 2016
COMM,111,Public Speaking,Fall 2016
COMM,114,Argument And Critical Discourse,Winter 2016
COMM,114,Argument And Critical Discourse,Spring 2016
COMM,114,Argument And Critical Discourse,Summer 2016
COMM,114,Argument And Critical Discourse,Fall 2016
COMM,218,Interpersonal Communication,Winter 2016
COMM,218,Interpersonal Communication,Spring 2016
COMM,218,Interpersonal Communication,Summer 2016
COMM,218,Interpersonal Communication,Fall 2016
COMM,312,Advanced Public Speaking,Winter 2016
COMM,314,Argumentation,Winter 2016
COMM,316,Advanced Persuasion,Summer 2016
COMM,316,Advanced Persuasion,Fall 2016
COMM,318,Advanced Interpersonal Communication,Spring 2016
COMM,320,Introduction To Rhetorical Theory,Winter 2016
COMM,320,Introduction To Rhetorical Theory,Spring 2016
COMM,320,Introduction To Rhetorical Theory,Summer 2016
COMM,320,Introduction To Rhetorical Theory,Fall 2016
COMM,321,Introduction To Communication Theory,Winter 2016
COMM,321,Introduction To Communication Theory,Spring 2016
COMM,321,Introduction To Communication Theory,Fall 2016
COMM,322,Small-Group Problem Solving,Winter 2016
COMM,322,Small-Group Problem Solving,Summer 2016
COMM,322,Small-Group Problem Solving,Fall 2016
COMM,324,Communication In Organizations,Winter 2016
COMM,324,Communication In Organizations,Spring 2016
COMM,324,Communication In Organizations,Summer 2016
COMM,324,Communication In Organizations,Fall 2016
COMM,326,Intercultural Communication,Winter 2016
COMM,326,Intercultural Communication,Summer 2016
COMM,328,Nonverbal Communication,Winter 2016
COMM,328,Nonverbal Communication,Spring 2016
COMM,328,Nonverbal Communication,Fall 2016
COMM,332,Family Communication,Spring 2016
COMM,350,Debate And Forensics Workshop,Winter 2016
COMM,368,Propaganda And Social Control,Spring 2016
COMM,368,Propaganda And Social Control,Fall 2016
COMM,372,Visual Rhetoric,Fall 2016
COMM,380,Image And Myth In Film,Spring 2016
COMM,380,Image And Myth In Film,Fall 2016
COMM,399,Special Topics,Spring 2016
COMM,401,Research,Summer 2016
COMM,401,Research,Fall 2016
COMM,402,Independent Study,Winter 2016
COMM,402,Independent Study,Spring 2016
COMM,402,Independent Study,Summer 2016
COMM,402,Independent Study,Fall 2016
COMM,403,Thesis,Winter 2016
COMM,403,Thesis,Spring 2016
COMM,403,Thesis,Summer 2016
COMM,403,Thesis,Fall 2016
COMM,405,Reading And Conference,Winter 2016
COMM,405,Reading And Conference,Spring 2016
COMM,405,Reading And Conference,Summer 2016
COMM,405,Reading And Conference,Fall 2016
COMM,406,Projects,Winter 2016
COMM,406,Projects,Spring 2016
COMM,406,Projects,Summer 2016
COMM,406,Projects,Fall 2016
COMM,407,Seminar,Winter 2016
COMM,407,Seminar,Spring 2016
COMM,407,Seminar,Summer 2016
COMM,407,Seminar,Fall 2016
COMM,408,Workshop,Winter 2016
COMM,408,Workshop,Spring 2016
COMM,408,Workshop,Summer 2016
COMM,410,Communication Internship,Winter 2016
COMM,410,Communication Internship,Spring 2016
COMM,410,Communication Internship,Summer 2016
COMM,410,Communication Internship,Fall 2016
COMM,414,Communication Research Methods,Fall 2016
COMM,416,Ethnography Of Communication,Spring 2016
COMM,418,Interpersonal Communication Theory And Research,Winter 2016
COMM,426,Intercultural Communication: Theories And Issues,Spring 2016
COMM,432,Gender And Communication,Spring 2016
COMM,437,Health Communication,Fall 2016
COMM,440,Theories Of Conflict And Conflict Management,Fall 2016
COMM,444,Third Parties In Dispute Resolution: Mediation & Arbitration,Winter 2016
COMM,454,Advanced Argumentation,Summer 2016
COMM,456,Rhetoric: 500 Bc To 500 Ad,Fall 2016
COMM,459,Contemporary Theories Of Rhetoric,Spring 2016
COMM,460,Rhetoric Of Revolutionaries And Reactionaries: 1750 To 1900,Fall 2016
COMM,462,Rhetoric Of Revolutionaries And Reactionaries: 1900-Present,Spring 2016
COMM,464,Rhetorical Criticism,Winter 2016
COMM,466,Ethics Of Rhetoric,Winter 2016
COMM,470,History Of Speech Communication,Spring 2016
COMM,476,Issues In The Freedom Of Speech,Winter 2016
COMM,484,Media Criticism,Fall 2016
CROP,101,"Introduction To Horticulture, Crop, Soil, And Insect Science",Fall 2016
CROP,199,Special Studies: Issues In Sustainable Agriculture,Winter 2016
CROP,200,Crop Ecology And Morphology,Fall 2016
CROP,280,Introduction To The Complexity Of Oregon Cropping Systems,Spring 2016
CROP,300,Crop Production In Pacific Northwest Agroecosystems,Fall 2016
CROP,310,Forage Production,Spring 2016
CROP,319,Principles Of Field Crop Production,Winter 2016
CROP,325,Ag And Environmental Predicaments: A Case Study Approach,Winter 2016
CROP,330,World Food Crops,Spring 2016
CROP,401,Research,Winter 2016
CROP,401,Research,Spring 2016
CROP,401,Research,Summer 2016
CROP,401,Research,Fall 2016
CROP,403,Thesis,Winter 2016
CROP,403,Thesis,Spring 2016
CROP,403,Thesis,Summer 2016
CROP,403,Thesis,Fall 2016
CROP,407,Seminar,Spring 2016
CROP,407,Seminar,Fall 2016
CROP,410,Internship,Winter 2016
CROP,410,Internship,Spring 2016
CROP,410,Internship,Summer 2016
CROP,410,Internship,Fall 2016
CROP,414,Precision Agriculture,Spring 2016
CROP,433,Systematics And Adaptation Of Vegetable Crops,Fall 2016
CROP,440,Weed Management,Fall 2016
CROP,460,Seed Production,Spring 2016
CROP,480,Case Studies In Cropping Systems Management,Spring 2016
CS,101,Computers: Applications And Implications,Winter 2016
CS,101,Computers: Applications And Implications,Spring 2016
CS,101,Computers: Applications And Implications,Fall 2016
CS,160,Computer Science Orientation,Fall 2016
CS,161,Introduction To Computer Science I,Winter 2016
CS,161,Introduction To Computer Science I,Spring 2016
CS,161,Introduction To Computer Science I,Summer 2016
CS,161,Introduction To Computer Science I,Fall 2016
CS,162,Introduction To Computer Science Ii,Winter 2016
CS,162,Introduction To Computer Science Ii,Spring 2016
CS,162,Introduction To Computer Science Ii,Summer 2016
CS,162,Introduction To Computer Science Ii,Fall 2016
CS,195,Website Design,Winter 2016
CS,195,Website Design,Fall 2016
CS,261,Data Structures,Winter 2016
CS,261,Data Structures,Spring 2016
CS,261,Data Structures,Summer 2016
CS,261,Data Structures,Fall 2016
CS,271,Computer Architecture And Assembly Language,Winter 2016
CS,271,Computer Architecture And Assembly Language,Summer 2016
CS,290,Web Development,Winter 2016
CS,290,Web Development,Summer 2016
CS,290,Web Development,Fall 2016
CS,295,Website Management,Spring 2016
CS,312,Linux System Administration,Winter 2016
CS,321,Introduction To Theory Of Computation,Winter 2016
CS,321,Introduction To Theory Of Computation,Summer 2016
CS,321,Introduction To Theory Of Computation,Fall 2016
CS,325,Analysis Of Algorithms,Winter 2016
CS,325,Analysis Of Algorithms,Summer 2016
CS,325,Analysis Of Algorithms,Fall 2016
CS,325H,Analysis Of Algorithms,Winter 2016
CS,331,Introduction To Artificial Intelligence,Spring 2016
CS,340,Introduction To Databases,Spring 2016
CS,340,Introduction To Databases,Fall 2016
CS,344,Operating Systems I,Winter 2016
CS,344,Operating Systems I,Summer 2016
CS,344,Operating Systems I,Fall 2016
CS,352,Introduction To Usability Engineering,Winter 2016
CS,361,Software Engineering I,Winter 2016
CS,361,Software Engineering I,Summer 2016
CS,361,Software Engineering I,Fall 2016
CS,362,Software Engineering Ii,Winter 2016
CS,362,Software Engineering Ii,Spring 2016
CS,362,Software Engineering Ii,Summer 2016
CS,372,Introduction To Computer Networks,Winter 2016
CS,372,Introduction To Computer Networks,Spring 2016
CS,372,Introduction To Computer Networks,Summer 2016
CS,372,Introduction To Computer Networks,Fall 2016
CS,381,Programming Language Fundamentals,Winter 2016
CS,381,Programming Language Fundamentals,Spring 2016
CS,381,Programming Language Fundamentals,Summer 2016
CS,391,Social And Ethical Issues In Computer Science,Winter 2016
CS,391,Social And Ethical Issues In Computer Science,Spring 2016
CS,391,Social And Ethical Issues In Computer Science,Fall 2016
CS,401,Research,Winter 2016
CS,401,Research,Spring 2016
CS,401,Research,Summer 2016
CS,401,Research,Fall 2016
CS,403,Thesis,Winter 2016
CS,403,Thesis,Spring 2016
CS,403,Thesis,Summer 2016
CS,403,Thesis,Fall 2016
CS,405,Reading And Conference,Winter 2016
CS,405,Reading And Conference,Spring 2016
CS,405,Reading And Conference,Summer 2016
CS,405,Reading And Conference,Fall 2016
CS,406,Projects,Winter 2016
CS,406,Projects,Spring 2016
CS,406,Projects,Summer 2016
CS,406,Projects,Fall 2016
CS,410,Occupational Internship,Winter 2016
CS,410,Occupational Internship,Spring 2016
CS,410,Occupational Internship,Summer 2016
CS,410,Occupational Internship,Fall 2016
CS,419,Selected Topics In Computer Science,Winter 2016
CS,419,Selected Topics In Computer Science,Spring 2016
CS,419,Selected Topics In Computer Science,Fall 2016
CS,420,Graph Theory With Applications To Computer Science,Winter 2016
CS,427,Cryptography,Winter 2016
CS,434,Machine Learning And Data Mining,Spring 2016
CS,440,Database Management Systems,Winter 2016
CS,444,Operating Systems Ii,Spring 2016
CS,444,Operating Systems Ii,Fall 2016
CS,446,Biological Networks,Fall 2016
CS,450,Introduction To Computer Graphics,Fall 2016
CS,457,Computer Graphics Shaders,Winter 2016
CS,461,Senior Software Engineering Project,Fall 2016
CS,462,Senior Software Engineering Project,Winter 2016
CS,463,Senior Software Engineering Project,Spring 2016
CS,472,Computer Architecture,Spring 2016
CS,472,Computer Architecture,Fall 2016
CS,475,Introduction To Parallel Programming,Spring 2016
CS,476,Advanced Computer Networking,Winter 2016
CS,480,Translators,Winter 2016
CS,491,Computer Science Skills For Simulation And Game Programming,Fall 2016
CS,496,Mobile And Cloud Software Development,Spring 2016
CSS,320,Principles Of Oil And Fiber Crop Production,Spring 2016
CSS,321,Principles Of Cereal Crop Production,Spring 2016
CSS,322,Principles Of Potato Production,Spring 2016
DHE,121,Computer Design For Apparel,Winter 2016
DHE,121,Computer Design For Apparel,Spring 2016
DHE,160,Design Perspectives,Winter 2016
DHE,160,Design Perspectives,Fall 2016
DHE,161,Design Explorations,Winter 2016
DHE,161,Design Explorations,Spring 2016
DHE,170,Introduction To The Textile And Apparel Industry,Winter 2016
DHE,181,Introduction To Interior Design,Winter 2016
DHE,187,Introduction To Design Communication,Spring 2016
DHE,221,Computer Aided Apparel Design I,Winter 2016
DHE,221,Computer Aided Apparel Design I,Spring 2016
DHE,221,Computer Aided Apparel Design I,Fall 2016
DHE,227,Apparel Design And Production 1,Winter 2016
DHE,233,History Of Contemporary Fashion,Spring 2016
DHE,255,Textiles,Winter 2016
DHE,255,Textiles,Fall 2016
DHE,262,Human-Centered Research In Design And Merchandising,Winter 2016
DHE,262,Human-Centered Research In Design And Merchandising,Spring 2016
DHE,263,Human-Centered Design Theories And Strategies,Winter 2016
DHE,263,Human-Centered Design Theories And Strategies,Spring 2016
DHE,276,Introduction To Merchandising Management,Spring 2016
DHE,276,Introduction To Merchandising Management,Fall 2016
DHE,281,Drawing And Sketching Interiors,Fall 2016
DHE,283,Building Construction And Materials,Fall 2016
DHE,287,Studio I: Design Communication,Winter 2016
DHE,288,Environmental Building Systems,Winter 2016
DHE,289,Studio Ii: Residential Space Planning,Spring 2016
DHE,299,Special Topics,Fall 2016
DHE,300,Field Experience Orientation And Development,Fall 2016
DHE,310,Field Experience,Winter 2016
DHE,310,Field Experience,Spring 2016
DHE,310,Field Experience,Summer 2016
DHE,310,Field Experience,Fall 2016
DHE,321,"Illustration, Porfolio, And Design Development",Spring 2016
DHE,326,Sewn Product Development,Fall 2016
DHE,327,Apparel Design And Production 2,Spring 2016
DHE,328,Computer-Aided Pattern Development,Winter 2016
DHE,352,Textiles For Interiors,Fall 2016
DHE,360,Collaborative Studio,Winter 2016
DHE,360,Collaborative Studio,Spring 2016
DHE,370,Textile And Apparel Market Analysis,Winter 2016
DHE,370,Textile And Apparel Market Analysis,Fall 2016
DHE,387,Studio Iii: Advanced Design Communication,Fall 2016
DHE,388,Studio Iv: Hospitality Design,Winter 2016
DHE,394,Studio V: Lighting Design,Spring 2016
DHE,401,Research And Scholarship,Winter 2016
DHE,401,Research And Scholarship,Spring 2016
DHE,401,Research And Scholarship,Fall 2016
DHE,402,Independent Study,Winter 2016
DHE,403,Thesis,Winter 2016
DHE,403,Thesis,Spring 2016
DHE,403,Thesis,Summer 2016
DHE,403,Thesis,Fall 2016
DHE,405,Reading And Conference,Winter 2016
DHE,405,Reading And Conference,Spring 2016
DHE,405,Reading And Conference,Summer 2016
DHE,405,Reading And Conference,Fall 2016
DHE,406,Projects,Winter 2016
DHE,406,Projects,Spring 2016
DHE,406,Projects,Summer 2016
DHE,406,Projects,Fall 2016
DHE,408,Workshop,Winter 2016
DHE,409,Practicum,Spring 2016
DHE,409,Practicum,Summer 2016
DHE,409,Practicum,Fall 2016
DHE,415,Renewable Materials In The Modern Age,Winter 2016
DHE,415,Renewable Materials In The Modern Age,Fall 2016
DHE,415H,Renewable Materials In The Modern Age,Winter 2016
DHE,422,Dhe Fashion Show And Design Exhibition,Winter 2016
DHE,422,Dhe Fashion Show And Design Exhibition,Spring 2016
DHE,427,Draping,Fall 2016
DHE,428,Apparel Production Processes,Winter 2016
DHE,429,Advanced Apparel Design,Spring 2016
DHE,453,Product Quality Assurance,Spring 2016
DHE,461,History Of The Near Environment I,Fall 2016
DHE,462,History Of The Near Environment Ii,Winter 2016
DHE,464,Contemporary History Of Interiors And Housing,Fall 2016
DHE,472,Merchandise Planning And Control,Spring 2016
DHE,472,Merchandise Planning And Control,Fall 2016
DHE,475,"Global Sourcing Of Textiles, Apparel, And Footwear",Spring 2016
DHE,475,"Global Sourcing Of Textiles, Apparel, And Footwear",Fall 2016
DHE,481,Professional Practice In Housing And Interior Design,Winter 2016
DHE,488,Studio Vi: Healthcare Design,Fall 2016
DHE,490,Study Tour,Summer 2016
DHE,495,Studio Vii: Senior Thesis Ii,Spring 2016
DHE,499,Special Topics In Design And Human Environment,Winter 2016
DHE,499,Special Topics In Design And Human Environment,Summer 2016
DHE,499,Special Topics In Design And Human Environment,Fall 2016
ECE,111,Introduction To Ece: Tools,Fall 2016
ECE,112,Introduction To Ece: Concepts,Winter 2016
ECE,271,Digital Logic Design,Spring 2016
ECE,271,Digital Logic Design,Fall 2016
ECE,272,Digital Logic Design Laboratory,Spring 2016
ECE,272,Digital Logic Design Laboratory,Fall 2016
ECE,322,Electronics I,Winter 2016
ECE,322,Electronics I,Fall 2016
ECE,323,Electronics Ii,Winter 2016
ECE,323,Electronics Ii,Spring 2016
ECE,331,Electromechanical Energy Conversion,Winter 2016
ECE,351,Signals And Systems I,Winter 2016
ECE,351,Signals And Systems I,Fall 2016
ECE,352,Signals And Systems Ii,Winter 2016
ECE,352,Signals And Systems Ii,Spring 2016
ECE,353,Introduction To Probability And Random Signals,Winter 2016
ECE,353,Introduction To Probability And Random Signals,Spring 2016
ECE,372,Introduction To Computer Networks,Winter 2016
ECE,372,Introduction To Computer Networks,Spring 2016
ECE,372,Introduction To Computer Networks,Fall 2016
ECE,375,Computer Organization And Assembly Language Programming,Winter 2016
ECE,375,Computer Organization And Assembly Language Programming,Fall 2016
ECE,390,Electric And Magnetic Fields,Winter 2016
ECE,390,Electric And Magnetic Fields,Summer 2016
ECE,390,Electric And Magnetic Fields,Fall 2016
ECE,391,Transmission Lines,Winter 2016
ECE,391,Transmission Lines,Spring 2016
ECE,401,Research,Winter 2016
ECE,401,Research,Spring 2016
ECE,401,Research,Summer 2016
ECE,401,Research,Fall 2016
ECE,403,Thesis,Winter 2016
ECE,403,Thesis,Spring 2016
ECE,403,Thesis,Summer 2016
ECE,403,Thesis,Fall 2016
ECE,405,Reading And Conference,Winter 2016
ECE,405,Reading And Conference,Spring 2016
ECE,405,Reading And Conference,Summer 2016
ECE,405,Reading And Conference,Fall 2016
ECE,406,Projects,Winter 2016
ECE,406,Projects,Spring 2016
ECE,406,Projects,Summer 2016
ECE,406,Projects,Fall 2016
ECE,410,Internship,Winter 2016
ECE,410,Internship,Spring 2016
ECE,410,Internship,Summer 2016
ECE,410,Internship,Fall 2016
ECE,411,Engineering Magnetics,Winter 2016
ECE,413,Sensors,Spring 2016
ECE,415,Material Science Of Nanotechnology,Spring 2016
ECE,416,Electronic Materials And Devices,Fall 2016
ECE,417,Basic Semiconductor Devices,Winter 2016
ECE,418,Semiconductor Processing,Spring 2016
ECE,422,Cmos Integrated Circuits I,Fall 2016
ECE,423,Cmos Integrated Circuits Ii,Winter 2016
ECE,431,Power Electronics,Spring 2016
ECE,432,Dynamics Of Electromechanical Energy Conversion,Spring 2016
ECE,433,Power Systems Analysis,Fall 2016
ECE,437,Smart Grid,Spring 2016
ECE,438,Electric And Hybrid Electric Vehicles,Winter 2016
ECE,441,Engineering Design Project,Fall 2016
ECE,442,Engineering Design Project,Winter 2016
ECE,443,Engineering Design Project,Spring 2016
ECE,451,Systems Dynamics And Control,Winter 2016
ECE,451,Systems Dynamics And Control,Fall 2016
ECE,461,Introduction To Analog And Digital Communications,Fall 2016
ECE,462,Digital Communications And Channel Coding,Winter 2016
ECE,463,Wireless Communications Network,Spring 2016
ECE,464,Digital Signal Processing,Winter 2016
ECE,468,Digital Image Processing,Fall 2016
ECE,471,Energy-Efficient Vlsi Design,Winter 2016
ECE,472,Computer Architecture,Spring 2016
ECE,472,Computer Architecture,Fall 2016
ECE,473,Microcontroller System Design,Fall 2016
ECE,474,Vlsi System Design,Spring 2016
ECE,476,Advanced Computer Networking,Winter 2016
ECE,477,Multimedia Systems,Spring 2016
ECE,478,Network Security,Spring 2016
ECE,482,Optical Electronic Systems,Winter 2016
ECE,483,Guided Wave Optics,Spring 2016
ECE,484,Antennas And Propagation,Winter 2016
ECE,485,Microwave Design Techniques,Spring 2016
ECE,499,Special Topics,Winter 2016
ECE,499,Special Topics,Fall 2016
ECON,201,Introduction To Microeconomics,Winter 2016
ECON,201,Introduction To Microeconomics,Spring 2016
ECON,201,Introduction To Microeconomics,Summer 2016
ECON,201,Introduction To Microeconomics,Fall 2016
ECON,202,Introduction To Macroeconomics,Winter 2016
ECON,202,Introduction To Macroeconomics,Spring 2016
ECON,202,Introduction To Macroeconomics,Summer 2016
ECON,202,Introduction To Macroeconomics,Fall 2016
ECON,311,Intermediate Microeconomic Theory,Winter 2016
ECON,311,Intermediate Microeconomic Theory,Spring 2016
ECON,311,Intermediate Microeconomic Theory,Fall 2016
ECON,315,Intermediate Macroeconomic Theory,Winter 2016
ECON,315,Intermediate Macroeconomic Theory,Spring 2016
ECON,315,Intermediate Macroeconomic Theory,Fall 2016
ECON,329,Introduction To Mathematical Economics,Spring 2016
ECON,330,Money And Banking,Spring 2016
ECON,330,Money And Banking,Fall 2016
ECON,340,International Economics,Winter 2016
ECON,340,International Economics,Fall 2016
ECON,352,Environmental Economics And Policy,Spring 2016
ECON,352,Environmental Economics And Policy,Fall 2016
ECON,399,Special Topics,Winter 2016
ECON,401,Research And Scholarship,Winter 2016
ECON,401,Research And Scholarship,Spring 2016
ECON,401,Research And Scholarship,Summer 2016
ECON,401,Research And Scholarship,Fall 2016
ECON,402,Independent Study,Winter 2016
ECON,402,Independent Study,Spring 2016
ECON,402,Independent Study,Summer 2016
ECON,402,Independent Study,Fall 2016
ECON,403,Thesis,Winter 2016
ECON,403,Thesis,Spring 2016
ECON,403,Thesis,Summer 2016
ECON,403,Thesis,Fall 2016
ECON,405,Reading And Conference,Winter 2016
ECON,405,Reading And Conference,Spring 2016
ECON,405,Reading And Conference,Summer 2016
ECON,405,Reading And Conference,Fall 2016
ECON,406,Projects,Winter 2016
ECON,406,Projects,Spring 2016
ECON,406,Projects,Summer 2016
ECON,406,Projects,Fall 2016
ECON,407,Seminar,Winter 2016
ECON,407,Seminar,Fall 2016
ECON,410,Internship,Winter 2016
ECON,410,Internship,Spring 2016
ECON,410,Internship,Summer 2016
ECON,410,Internship,Fall 2016
ECON,411,Advanced Microeconomic Theory,Fall 2016
ECON,414,Behavioral Economics,Winter 2016
ECON,415,Advanced Macroeconomic Theory,Spring 2016
ECON,423,Econometrics I,Winter 2016
ECON,424,Introduction To Econometrics,Spring 2016
ECON,424,Introduction To Econometrics,Fall 2016
ECON,427,Econometrics Ii,Spring 2016
ECON,428,Introduction To Economic Research,Winter 2016
ECON,428,Introduction To Economic Research,Spring 2016
ECON,435,Public Economics,Fall 2016
ECON,439,Public Policy Analysis,Spring 2016
ECON,439,Public Policy Analysis,Fall 2016
ECON,440,Economics Of Globalization,Winter 2016
ECON,455,Economic Development,Spring 2016
ECON,460,Industrial Organization Theory And Policy,Winter 2016
ECON,461,"Law, Economics, And Regulation",Winter 2016
ECON,462,Managerial Economics,Spring 2016
ECON,466,Economics Of Traditional And Renewable Energy,Spring 2016
ECON,480,Labor Economics,Spring 2016
ED,216,"Purpose, Structure, & Function Of Education In A Democracy",Spring 2016
ED,219,Civil Rights And Multicultural Issues In Education,Spring 2016
ED,253,Learning Across The Lifespan,Spring 2016
ED,309,Field Practicum,Spring 2016
ED,406,Projects,Spring 2016
ED,410,Internship/Work Experience,Spring 2016
ED,412,Learning Styles And Needs In Adolescence,Spring 2016
ED,424,Teacher As Reflective Practitioner,Spring 2016
ED,472,Foundations Of Esol Education,Spring 2016
ED,476,Partnerships And Ideologies In Esol Education,Spring 2016
ED,479,Linguistics For Teachers,Spring 2016
ENG,104,Introduction To Literature: Fiction,Winter 2016
ENG,104,Introduction To Literature: Fiction,Spring 2016
ENG,104,Introduction To Literature: Fiction,Summer 2016
ENG,104,Introduction To Literature: Fiction,Fall 2016
ENG,106,Introduction To Literature: Poetry,Winter 2016
ENG,106,Introduction To Literature: Poetry,Spring 2016
ENG,106,Introduction To Literature: Poetry,Summer 2016
ENG,106,Introduction To Literature: Poetry,Fall 2016
ENG,106H,Introduction To Literature: Poetry,Winter 2016
ENG,107,Introduction To Creative Nonfiction,Winter 2016
ENG,107,Introduction To Creative Nonfiction,Fall 2016
ENG,200,Library Skills For Literary Study,Winter 2016
ENG,200,Library Skills For Literary Study,Spring 2016
ENG,200,Library Skills For Literary Study,Fall 2016
ENG,201,Shakespeare,Winter 2016
ENG,201,Shakespeare,Summer 2016
ENG,201,Shakespeare,Fall 2016
ENG,202,Shakespeare,Spring 2016
ENG,204,Survey Of British Literature: Beginnings To 1660,Fall 2016
ENG,205H,Survey Of British Literature: Restoration To Romantic Era,Fall 2016
ENG,206,Survey Of British Literature: Victorian Era To 20Th Century,Fall 2016
ENG,207,Literature Of Western Civilization: Classical-Renaissance,Fall 2016
ENG,208,Literature Of Western Civilization: 18Th Century To Present,Winter 2016
ENG,212,"Literatures Of The World: Meso/South America, Caribbean",Fall 2016
ENG,213,Literatures Of The World: Middle East,Winter 2016
ENG,213H,Literatures Of The World: Middle East,Fall 2016
ENG,215,Classical Mythology,Winter 2016
ENG,220,"Topics In Difference, Power, And Discrimination",Winter 2016
ENG,220,"Topics In Difference, Power, And Discrimination",Spring 2016
ENG,220,"Topics In Difference, Power, And Discrimination",Fall 2016
ENG,253,Survey Of American Literature: Colonial To 1900,Winter 2016
ENG,253,Survey Of American Literature: Colonial To 1900,Fall 2016
ENG,254,Survey Of American Literature: 1900 To Present,Fall 2016
ENG,254H,Survey Of American Literature: 1900 To Present,Spring 2016
ENG,260,Literature Of American Minorities,Winter 2016
ENG,275,The Bible As Literature,Spring 2016
ENG,275H,The Bible As Literature,Winter 2016
ENG,311,Studies In British Prose,Winter 2016
ENG,317,The American Novel: Beginnings To Chopin,Winter 2016
ENG,318,The American Novel: Modernist Period,Fall 2016
ENG,319,The American Novel: Post-World War Ii,Winter 2016
ENG,319,The American Novel: Post-World War Ii,Spring 2016
ENG,320,"Studies In Page, Stage, And Screen",Fall 2016
ENG,321,"Studies In Word, Object, And Image",Winter 2016
ENG,330,The Holocaust In Literature And Film,Spring 2016
ENG,345,Introduction To Literary Criticism And Theory,Spring 2016
ENG,345,Introduction To Literary Criticism And Theory,Fall 2016
ENG,362,American Women Writers,Summer 2016
ENG,362,American Women Writers,Fall 2016
ENG,374,Modern Short Story,Fall 2016
ENG,375,Children'S Literature,Winter 2016
ENG,386,A Cultural History Of American Art And Literature: Part I,Spring 2016
ENG,401,Research And Scholarship,Winter 2016
ENG,401,Research And Scholarship,Spring 2016
ENG,401,Research And Scholarship,Summer 2016
ENG,401,Research And Scholarship,Fall 2016
ENG,402,Independent Study,Winter 2016
ENG,402,Independent Study,Spring 2016
ENG,402,Independent Study,Summer 2016
ENG,402,Independent Study,Fall 2016
ENG,403,Thesis,Winter 2016
ENG,403,Thesis,Spring 2016
ENG,403,Thesis,Summer 2016
ENG,403,Thesis,Fall 2016
ENG,405,Reading And Conference,Winter 2016
ENG,405,Reading And Conference,Spring 2016
ENG,405,Reading And Conference,Summer 2016
ENG,405,Reading And Conference,Fall 2016
ENG,406,Projects,Winter 2016
ENG,406,Projects,Spring 2016
ENG,406,Projects,Summer 2016
ENG,406,Projects,Fall 2016
ENG,407,Seminar,Fall 2016
ENG,408,Workshop,Fall 2016
ENG,410,Internship In English,Winter 2016
ENG,410,Internship In English,Spring 2016
ENG,410,Internship In English,Summer 2016
ENG,410,Internship In English,Fall 2016
ENG,416,Power And Representation,Fall 2016
ENG,433,Studies In The Long Eighteenth Century,Spring 2016
ENG,435,Studies In Shakespeare,Winter 2016
ENG,436,Studies In Victorian Literature,Fall 2016
ENG,440,Studies In Modern Irish Literature,Spring 2016
